"DocumentDate"	"SalePrice"	"PropertyID"	"PropertyType"	"ym"	"zhvi_px"	"zhvi_idx"	"AdjSalePrice"	"NbrLivingUnits"	"SqFtLot"	"SqFtTotLiving"	"SqFtFinBasement"	"Bathrooms"	"Bedrooms"	"BldgGrade"	"YrBuilt"	"YrRenovated"	"TrafficNoise"	"LandVal"	"ImpsVal"	"ZipCode"	"NewConstruction"
"42"	"2006-01-12"	330000	11900050	"Single Family"	"2006-01-01"	383200	0.880514705882353	374781	1	4500	1850	0	2.5	3	8	2004	0	0	90000	185000	98042	FALSE
"43"	"2011-12-16"	222300	11900050	"Single Family"	"2011-12-01"	311900	0.716681985294118	310179	1	4500	1850	0	2.5	3	8	2004	0	0	90000	185000	98042	FALSE
"44"	"2007-11-29"	369950	11900080	"Single Family"	"2007-11-01"	428400	0.984375	375822	1	4800	1920	0	2.5	4	8	2004	0	0	90000	189000	98042	FALSE
"45"	"2006-08-18"	377000	11900140	"Single Family"	"2006-08-01"	411100	0.944623161764706	399101	1	4597	1850	0	2.5	3	8	2003	0	0	90000	183000	98042	FALSE
"46"	"2014-05-09"	254000	11900140	"Single Family"	"2014-05-01"	398100	0.914751838235294	277671	1	4597	1850	0	2.5	3	8	2003	0	0	90000	183000	98042	FALSE
"47"	"2007-01-18"	279950	13001225	"Single Family"	"2007-01-01"	425600	0.977941176470588	286265	1	5085	920	0	1	3	7	1954	0	2	80000	120000	98108	FALSE
"50"	"2006-01-26"	259000	16000460	"Single Family"	"2006-01-01"	383200	0.880514705882353	294146	1	5635	1190	0	1	3	7	1922	0	1	61000	127000	98002	FALSE
"51"	"2006-04-04"	212000	16000500	"Single Family"	"2006-04-01"	396500	0.911075367647059	232692	1	4543	1290	0	1	3	7	1951	0	0	61000	152000	98002	FALSE
"52"	"2014-10-08"	515000	23500190	"Single Family"	"2014-10-01"	407400	0.936121323529412	550142	1	7800	2470	1000	2.25	4	8	1975	0	0	269000	283000	98052	FALSE
"53"	"2006-06-08"	535000	23500440	"Single Family"	"2006-06-01"	404400	0.929227941176471	575747	1	9030	2730	1260	2.5	5	8	1976	0	0	269000	301000	98052	FALSE
"54"	"2012-05-02"	447500	23500460	"Single Family"	"2012-05-01"	318000	0.730698529411765	612428	1	9800	1980	680	2.75	4	8	1976	0	0	269000	270000	98052	FALSE
"55"	"2010-12-30"	343000	23520190	"Single Family"	"2010-12-01"	330600	0.759650735294118	451523	1	9750	1470	0	1.75	3	7	1978	0	0	269000	177000	98052	FALSE
"56"	"2008-09-24"	518000	23520250	"Single Family"	"2008-09-01"	394900	0.907398897058823	570862	1	11000	2410	1040	2.5	4	7	1978	0	0	269000	275000	98052	FALSE
"57"	"2010-10-06"	359000	23520620	"Single Family"	"2010-10-01"	334700	0.769071691176471	466797	1	9200	1850	490	2	3	7	1977	0	0	269000	190000	98052	FALSE
"58"	"2006-07-11"	625000	31000020	"Single Family"	"2006-07-01"	407700	0.936810661764706	667157	1	7140	1690	0	1.75	3	8	1955	0	0	541000	205000	98040	FALSE
"59"	"2007-05-25"	638000	31000040	"Single Family"	"2007-05-01"	432100	0.992876838235294	642577	1	7140	1510	0	1.5	3	8	1955	0	0	541000	166000	98040	FALSE
"60"	"2007-10-24"	705000	31000131	"Single Family"	"2007-10-01"	431300	0.991038602941177	711375	1	8568	1500	0	1.5	3	8	1954	0	0	541000	172000	98040	FALSE
"61"	"2007-05-21"	699500	31000165	"Single Family"	"2007-05-01"	432100	0.992876838235294	704518	1	7821	3620	830	3.5	5	10	1958	2010	0	541000	808000	98040	FALSE
"62"	"2012-04-13"	1285000	31000165	"Single Family"	"2012-04-01"	315200	0.724264705882353	1774213	1	7821	3620	830	3.5	5	10	1958	2010	0	541000	808000	98040	FALSE
"63"	"2006-10-05"	830000	31000270	"Single Family"	"2006-10-01"	418300	0.961167279411765	863533	1	8736	3060	1530	2.5	3	8	1956	0	0	500000	284000	98040	FALSE
"64"	"2012-01-30"	350000	34001020	"Single Family"	"2012-01-01"	311600	0.715992647058823	488832	1	4000	1240	620	2	3	6	1918	2012	0	194000	232000	98136	FALSE
"65"	"2008-05-19"	435000	34001246	"Single Family"	"2008-05-01"	407400	0.936121323529412	464683	1	5320	1490	250	1.75	3	8	1962	0	0	201000	282000	98136	FALSE
"66"	"2006-06-16"	700000	34001648	"Single Family"	"2006-06-01"	404400	0.929227941176471	753314	1	5098	1790	980	2.5	3	9	2005	0	0	289000	464000	98136	TRUE
"67"	"2010-10-25"	660000	34001648	"Single Family"	"2010-10-01"	334700	0.769071691176471	858177	1	5098	1790	980	2.5	3	9	2005	0	0	289000	464000	98136	FALSE
"68"	"2012-08-27"	539800	34001765	"Single Family"	"2012-08-01"	327500	0.752527573529412	717316	1	5460	2230	800	3.25	3	8	1977	0	0	231000	435000	98136	FALSE
"70"	"2011-08-25"	240000	34001865	"Single Family"	"2011-08-01"	312700	0.718520220588235	334020	1	4320	760	0	1	2	6	1941	0	1	212000	120000	98136	FALSE
"71"	"2006-06-15"	358950	37000505	"Single Family"	"2006-06-01"	404400	0.929227941176471	386288	1	7980	2080	0	1.75	3	7	1937	0	0	189000	281000	98126	FALSE
"72"	"2010-07-09"	289950	37000560	"Single Family"	"2010-07-01"	342800	0.787683823529412	368105	1	5320	1180	0	1.75	3	7	1968	0	0	179000	174000	98126	FALSE
"73"	"2006-06-12"	283000	40000006	"Single Family"	"2006-06-01"	404400	0.929227941176471	304554	1	8631	1130	0	1.75	3	7	1955	0	0	91000	143000	98168	FALSE
"74"	"2014-03-20"	357500	40000235	"Single Family"	"2014-03-01"	392100	0.900965073529412	396797	1	8428	2130	0	2.5	5	7	2013	0	0	94000	275000	98168	TRUE
"75"	"2014-05-06"	78000	40000362	"Single Family"	"2014-05-01"	398100	0.914751838235294	85269	1	16344	780	0	1	2	5	1942	0	1	125000	1000	98168	FALSE
"76"	"2007-05-07"	430450	40000511	"Single Family"	"2007-05-01"	432100	0.992876838235294	433538	1	7288	1800	0	2.5	3	8	2007	0	1	102000	241000	98168	TRUE
"77"	"2006-08-16"	289000	40000517	"Single Family"	"2006-08-01"	411100	0.944623161764706	305942	1	7920	2100	1050	2	4	7	1967	0	1	102000	136000	98168	FALSE
"78"	"2008-05-09"	235000	40000553	"Single Family"	"2008-05-01"	407400	0.936121323529412	251036	1	19570	1400	300	1	2	6	1929	0	3	105000	77000	98168	FALSE
"79"	"2006-11-03"	200000	40000961	"Single Family"	"2006-11-01"	421200	0.967830882352941	206648	1	8140	700	0	1	1	6	1943	0	0	104000	70000	98168	FALSE
"80"	"2006-07-29"	531000	41000387	"Single Family"	"2006-07-01"	407700	0.936810661764706	566817	1	19350	5050	2500	3.75	5	9	1959	0	0	109000	351000	98188	FALSE
"81"	"2007-07-19"	190000	41000454	"Single Family"	"2007-07-01"	434200	0.997702205882353	190438	1	9000	880	0	1	2	5	1928	0	1	91000	37000	98188	FALSE
"82"	"2012-10-16"	89000	41000454	"Single Family"	"2012-10-01"	332400	0.763786764705882	116525	1	9000	880	0	1	2	5	1928	0	1	91000	37000	98188	FALSE
"83"	"2006-06-28"	458000	41000551	"Single Family"	"2006-06-01"	404400	0.929227941176471	492882	1	10498	2730	0	2.5	4	8	2002	0	0	114000	252000	98188	FALSE
"84"	"2006-10-13"	225000	42000006	"Single Family"	"2006-10-01"	418300	0.961167279411765	234090	1	9282	1500	0	1	5	6	1966	0	1	104000	161000	98168	FALSE
"85"	"2014-04-23"	200000	42000127	"Single Family"	"2014-04-01"	395300	0.908318014705882	220187	1	10080	1970	0	1.5	3	7	1966	0	0	114000	137000	98168	FALSE
"86"	"2007-06-12"	271300	42000136	"Single Family"	"2007-06-01"	433200	0.995404411764706	272553	1	9180	3670	0	4.25	6	10	2008	0	0	110000	531000	98168	FALSE
"87"	"2010-10-25"	1713000	46100350	"Single Family"	"2010-10-01"	334700	0.769071691176471	2227361	1	26540	5000	1590	3.5	5	10	2008	0	0	1013000	1053000	98040	FALSE
"88"	"2008-07-07"	1852000	46100509	"Single Family"	"2008-07-01"	400300	0.919806985294118	2013466	1	16240	5050	1200	3.25	4	11	1987	0	0	876000	813000	98040	FALSE
"89"	"2008-03-19"	3650000	46100510	"Single Family"	"2008-03-01"	415100	0.953814338235294	3826741	1	16750	6210	0	5.5	5	11	2009	0	0	2412000	2698000	98040	FALSE
"90"	"2006-05-25"	281000	49000015	"Single Family"	"2006-05-01"	400600	0.920496323529412	305270	1	8040	2220	1110	1.75	4	7	1955	0	0	161000	188000	98146	FALSE
"91"	"2006-08-28"	200000	49000052	"Single Family"	"2006-08-01"	411100	0.944623161764706	211725	1	7201	1250	0	1.75	3	6	1983	0	1	143000	134000	98146	FALSE
"92"	"2007-02-12"	399950	49000083	"Single Family"	"2007-02-01"	427800	0.982996323529412	406868	1	8336	1420	310	1.5	3	7	1955	0	0	161000	175000	98146	FALSE
"93"	"2007-09-19"	421000	49500140	"Single Family"	"2007-09-01"	433500	0.99609375	422651	1	8285	2160	0	2.5	4	7	1963	0	0	162000	188000	98059	FALSE
"94"	"2008-05-08"	325775	49500160	"Single Family"	"2008-05-01"	407400	0.936121323529412	348005	1	7984	1150	0	1	3	7	1961	0	0	162000	141000	98059	FALSE
"95"	"2007-07-09"	450000	50300060	"Single Family"	"2007-07-01"	434200	0.997702205882353	451036	1	13042	2520	0	3	5	8	2003	0	0	105000	241000	98042	FALSE
"96"	"2006-10-03"	420000	50300240	"Single Family"	"2006-10-01"	418300	0.961167279411765	436969	1	9520	2180	0	2.5	4	8	2004	0	0	105000	225000	98042	FALSE
"97"	"2013-01-04"	277000	50300370	"Single Family"	"2013-01-01"	342800	0.787683823529412	351664	1	8408	1900	0	2.5	4	8	2004	0	0	105000	209000	98042	FALSE
"98"	"2006-09-25"	592000	50700010	"Single Family"	"2006-09-01"	414800	0.953125	621115	1	15295	3340	0	2.5	4	10	1990	0	0	128000	344000	98023	FALSE
"99"	"2006-01-19"	339950	51000220	"Single Family"	"2006-01-01"	383200	0.880514705882353	386081	1	13125	2480	880	2.5	5	8	1977	0	0	108000	201000	98023	FALSE
"111"	"2007-03-17"	805000	56000095	"Single Family"	"2007-03-01"	429600	0.987132352941177	815493	1	5875	2600	1000	2.75	3	8	1929	0	2	286000	567000	98116	FALSE
"112"	"2007-08-28"	689975	56000155	"Single Family"	"2007-08-01"	434600	0.998621323529412	690928	1	5000	1560	780	1.75	2	7	1936	0	2	344000	151000	98116	FALSE
"113"	"2007-04-11"	619950	59000080	"Single Family"	"2007-04-01"	430900	0.990119485294118	626137	1	5000	2880	1440	2	4	8	1941	0	2	260000	275000	98116	FALSE
"114"	"2007-03-23"	695000	59000150	"Single Family"	"2007-03-01"	429600	0.987132352941177	704060	1	3440	1830	220	1.5	3	8	1941	0	2	201000	418000	98116	FALSE
"115"	"2006-11-03"	531000	59000765	"Single Family"	"2006-11-01"	421200	0.967830882352941	548650	1	6000	2480	1240	1.75	5	7	1955	0	1	259000	408000	98116	FALSE
"116"	"2006-04-25"	385000	59500260	"Single Family"	"2006-04-01"	396500	0.911075367647059	422578	1	7045	1810	360	2.5	4	7	1988	0	0	91000	224000	98032	FALSE
"117"	"2007-07-30"	453000	66000025	"Single Family"	"2007-07-01"	434200	0.997702205882353	454043	1	6300	1590	930	1.75	3	7	1925	0	0	238000	248000	98126	FALSE
"118"	"2006-03-23"	391000	66000175	"Single Family"	"2006-03-01"	392100	0.900965073529412	433979	1	6550	1850	0	2	3	7	1985	0	0	238000	276000	98126	FALSE
"119"	"2006-02-07"	282000	66000280	"Single Family"	"2006-02-01"	387600	0.890625	316632	1	6550	1810	0	1.5	3	7	1950	0	0	238000	249000	98126	FALSE
"120"	"2011-08-29"	230000	66000350	"Single Family"	"2011-08-01"	312700	0.718520220588235	320102	1	6600	2210	790	2.5	4	8	1943	2011	0	238000	429000	98136	FALSE
"121"	"2007-02-21"	515000	66000410	"Single Family"	"2007-02-01"	427800	0.982996323529412	523908	1	6500	1680	590	1.75	3	7	1944	0	0	238000	226000	98126	FALSE
"122"	"2013-06-13"	425000	66000445	"Single Family"	"2013-06-01"	366100	0.841222426470588	505217	1	6550	1810	770	1.5	3	7	1928	0	0	238000	239000	98126	FALSE
"123"	"2007-03-01"	389950	66000450	"Single Family"	"2007-03-01"	429600	0.987132352941177	395033	1	6550	1370	600	1.75	3	6	1914	0	0	238000	189000	98126	FALSE
"124"	"2009-05-14"	375000	66000450	"Single Family"	"2009-05-01"	360700	0.828814338235294	452454	1	6550	1370	600	1.75	3	6	1914	0	0	238000	189000	98126	FALSE
"125"	"2008-08-14"	460000	66000460	"Single Family"	"2008-08-01"	397900	0.914292279411765	503121	1	6550	1720	700	2	4	7	1975	0	0	238000	281000	98126	FALSE
"126"	"2006-02-27"	290000	66000485	"Single Family"	"2006-02-01"	387600	0.890625	325614	1	6419	1080	300	1	2	6	1918	0	0	238000	165000	98126	FALSE
"127"	"2006-01-18"	630000	72000035	"Single Family"	"2006-01-01"	383200	0.880514705882353	715491	1	4109	2810	1060	3	4	8	1918	2013	0	302000	663000	98103	FALSE
"128"	"2006-07-07"	560000	72000040	"Single Family"	"2006-07-01"	407700	0.936810661764706	597773	1	4109	2110	970	1.75	4	7	1924	0	0	302000	318000	98103	FALSE
"129"	"2009-04-21"	575000	72000040	"Single Family"	"2009-04-01"	365000	0.838694852941177	685589	1	4109	2110	970	1.75	4	7	1924	0	0	302000	318000	98103	FALSE
"130"	"2006-05-02"	210000	84000052	"Single Family"	"2006-05-01"	400600	0.920496323529412	228138	1	5040	1180	0	1	2	6	1942	0	2	83000	81000	98168	FALSE
"131"	"2011-04-07"	125000	84000245	"Single Family"	"2011-04-01"	318700	0.732306985294118	170693	1	9452	1100	0	1.75	3	6	1942	0	0	103000	80000	98146	FALSE
"132"	"2006-05-22"	304000	84000310	"Single Family"	"2006-05-01"	400600	0.920496323529412	330257	1	11475	1260	0	1	4	6	1942	0	0	108000	117000	98146	FALSE
"133"	"2013-11-06"	185000	87000029	"Single Family"	"2013-11-01"	382600	0.879136029411765	210434	1	10450	2930	840	2.5	7	7	1950	0	2	92000	120000	98055	FALSE
"134"	"2006-03-30"	257000	87000256	"Single Family"	"2006-03-01"	392100	0.900965073529412	285250	1	18090	1370	0	1	3	6	1947	0	0	138000	103000	98055	FALSE
"135"	"2011-01-26"	320000	87000283	"Single Family"	"2011-01-01"	328100	0.75390625	424456	1	7800	1980	0	2.5	3	8	1999	0	0	86000	221000	98055	FALSE
"136"	"2014-11-18"	359950	87000283	"Single Family"	"2014-11-01"	410700	0.943704044117647	381423	1	7800	1980	0	2.5	3	8	1999	0	0	86000	221000	98055	FALSE
"137"	"2006-06-14"	389950	88000280	"Single Family"	"2006-06-01"	404400	0.929227941176471	419649	1	29800	1270	0	0.75	2	6	1949	1990	0	155000	113000	98055	FALSE
"138"	"2006-09-06"	289950	88000425	"Single Family"	"2006-09-01"	414800	0.953125	304210	1	8500	1320	0	1.5	3	7	2003	0	1	87000	153000	98055	FALSE
"139"	"2008-06-03"	530000	91000325	"Single Family"	"2008-06-01"	403200	0.926470588235294	572063	1	4761	1530	300	1.5	3	7	1925	0	0	271000	364000	98103	FALSE
"140"	"2008-03-26"	520000	97000120	"Single Family"	"2008-03-01"	415100	0.953814338235294	545179	1	4000	1590	0	1	4	7	1907	0	1	249000	331000	98122	FALSE
"141"	"2006-08-31"	880000	97000140	"Single Family"	"2006-08-01"	411100	0.944623161764706	931588	1	6000	2280	930	2.5	4	8	1980	0	1	370000	487000	98122	FALSE
"142"	"2007-06-20"	865000	97000275	"Single Family"	"2007-06-01"	433200	0.995404411764706	868994	1	4000	3080	1020	2.5	5	8	1925	0	0	312000	532000	98122	FALSE
"153"	"2006-10-16"	1020000	98000030	"Single Family"	"2006-10-01"	418300	0.961167279411765	1061210	1	12946	5210	0	3.25	4	11	2002	0	1	288000	777000	98075	FALSE
"154"	"2006-11-27"	1140000	98000100	"Single Family"	"2006-11-01"	421200	0.967830882352941	1177892	1	17584	4610	0	4	5	11	2004	0	0	380000	721000	98075	FALSE
"155"	"2010-08-17"	1274500	98000150	"Single Family"	"2010-08-01"	339900	0.781020220588235	1631840	1	22093	4930	0	4	4	12	2004	0	0	371000	873000	98075	FALSE
"156"	"2006-06-28"	1484402	98000190	"Single Family"	"2006-06-01"	404400	0.929227941176471	1597457	1	17771	4960	0	4	4	12	2006	0	0	331000	885000	98075	TRUE
"157"	"2008-07-28"	1645000	98000210	"Single Family"	"2008-07-01"	400300	0.919806985294118	1788419	1	15400	5240	0	4.25	5	12	2007	0	0	353000	928000	98075	TRUE
"158"	"2007-01-04"	1500000	98000300	"Single Family"	"2007-01-01"	425600	0.977941176470588	1533835	1	14942	4950	0	4.25	5	11	2006	0	0	315000	788000	98075	TRUE
"159"	"2009-11-11"	840000	98000310	"Single Family"	"2009-11-01"	350900	0.806295955882353	1041801	1	14205	4630	0	3.5	4	11	2003	0	0	330000	737000	98075	FALSE
"160"	"2006-11-09"	958000	98000560	"Single Family"	"2006-11-01"	421200	0.967830882352941	989842	1	15151	3550	0	3.75	4	11	2004	0	0	299000	643000	98075	FALSE
"161"	"2010-12-13"	705000	98000560	"Single Family"	"2010-12-01"	330600	0.759650735294118	928058	1	15151	3550	0	3.75	4	11	2004	0	0	299000	643000	98075	FALSE
"162"	"2006-08-11"	1095000	98000640	"Single Family"	"2006-08-01"	411100	0.944623161764706	1159192	1	19098	4540	0	3.5	5	11	2003	0	0	337000	709000	98075	FALSE
"163"	"2007-11-07"	1200000	98000780	"Single Family"	"2007-11-01"	428400	0.984375	1219048	1	16531	5210	0	3.25	4	11	2002	0	0	326000	772000	98075	FALSE
"164"	"2010-10-18"	865800	98000870	"Single Family"	"2010-10-01"	334700	0.769071691176471	1125773	1	16271	4460	0	3.5	4	11	2001	0	0	369000	684000	98075	FALSE
"165"	"2006-10-26"	1150000	98000880	"Single Family"	"2006-10-01"	418300	0.961167279411765	1196462	1	17679	4220	0	4.25	4	11	2001	0	0	380000	687000	98075	FALSE
"166"	"2006-10-26"	1455000	98001170	"Single Family"	"2006-10-01"	418300	0.961167279411765	1513784	1	15783	4840	0	3.5	4	11	2006	0	0	304000	769000	98075	TRUE
"167"	"2007-12-27"	1050000	98001220	"Single Family"	"2007-12-01"	425200	0.977022058823529	1074694	1	15644	4160	0	4.5	4	11	2004	0	0	304000	696000	98075	FALSE
"168"	"2006-05-22"	1110000	98001230	"Single Family"	"2006-05-01"	400600	0.920496323529412	1205871	1	15709	4330	0	3.5	4	11	2005	0	0	304000	716000	98075	FALSE
"169"	"2006-08-18"	1346950	98001240	"Single Family"	"2006-08-01"	411100	0.944623161764706	1425913	1	14479	4630	0	4.5	4	11	2005	0	0	299000	757000	98075	TRUE
"170"	"2007-01-11"	1225950	98001250	"Single Family"	"2007-01-01"	425600	0.977941176470588	1253603	1	14837	3950	0	3.5	4	11	2006	0	0	299000	684000	98075	TRUE
"171"	"2006-04-26"	949950	98020030	"Single Family"	"2006-04-01"	396500	0.911075367647059	1042669	1	7338	3720	0	4.25	5	10	2004	0	0	276000	528000	98075	TRUE
"172"	"2011-07-23"	647500	98020050	"Single Family"	"2011-07-01"	314100	0.721737132352941	897141	1	7845	3550	0	3.5	4	10	2004	0	0	276000	507000	98075	FALSE
"173"	"2006-02-14"	700250	98020150	"Single Family"	"2006-02-01"	387600	0.890625	786246	1	7121	3150	0	2.5	4	10	2005	0	0	276000	463000	98075	FALSE
"174"	"2008-12-04"	669000	98020220	"Single Family"	"2008-12-01"	381600	0.876838235294118	762969	1	8938	3210	0	2.5	4	10	2005	0	0	280000	467000	98075	FALSE
"175"	"2008-06-20"	709950	98020310	"Single Family"	"2008-06-01"	403200	0.926470588235294	766295	1	7331	3230	0	2.5	4	10	2004	0	0	276000	465000	98075	FALSE
"176"	"2006-05-26"	866750	98020410	"Single Family"	"2006-05-01"	400600	0.920496323529412	941612	1	8030	3320	0	3.75	4	10	2005	0	0	280000	492000	98075	TRUE
"177"	"2006-03-21"	885000	98020420	"Single Family"	"2006-03-01"	392100	0.900965073529412	982280	1	8727	4070	0	3.5	4	10	2005	0	0	280000	561000	98075	TRUE
"178"	"2010-01-05"	675000	98020430	"Single Family"	"2010-01-01"	350800	0.806066176470588	837400	1	6998	3740	0	3.5	4	10	2005	0	0	242000	382000	98075	FALSE
"179"	"2006-05-16"	842950	98020450	"Single Family"	"2006-05-01"	400600	0.920496323529412	915756	1	7380	3190	0	4.25	5	10	2005	0	0	276000	478000	98075	TRUE
"180"	"2006-03-22"	869950	98020460	"Single Family"	"2006-03-01"	392100	0.900965073529412	965576	1	7422	3280	0	3.25	4	10	2005	0	0	276000	484000	98075	TRUE
