"","outcome","purpose_","dti","borrower_score","payment_inc_ratio"
"3629","default","debt_consolidation",22.71,0.45,7.848
"582","default","debt_consolidation",12.9,0.45,4.26716
"44344","paid off","debt_consolidation",4,0.65,3.0785
"21662","default","debt_consolidation",32.4,0.6,11.2352
"27179","paid off","debt_consolidation",12.78,0.5,3.7549
"11060","default","debt_consolidation",17.12,0.35,14.3483
"22210","default","other",16.06,0.7,4.0812
"4095","default","credit_card",19.72,0.4,17.9856
"30270","paid off","debt_consolidation",15.17,0.4,7.3297
"44976","paid off","debt_consolidation",15.94,0.5,6.84339
"6117","default","credit_card",14.28,0.55,6.34571
"24695","paid off","credit_card",14.64,0.75,5.21777
"36045","paid off","debt_consolidation",8.45,0.4,5.36139
"30548","paid off","debt_consolidation",20.79,0.7,6.69905
"20962","default","debt_consolidation",7.14,0.55,9.426
"7127","default","debt_consolidation",22.17,0.55,5.49931
"34943","paid off","credit_card",10.19,0.45,2.3468
"33042","paid off","home_improvement",17.18,0.6,3.914
"29231","paid off","other",18.6,0.6,7.76373
"42989","paid off","debt_consolidation",20.89,0.55,6.32734
"32224","paid off","debt_consolidation",12.89,0.55,8.856
"40177","paid off","credit_card",15.95,0.55,9.87171
"4402","default","other",1.77,0.35,0.221906
"23386","paid off","debt_consolidation",17,0.55,6.43735
"27429","paid off","other",13.06,0.5,9.72069
"36110","paid off","debt_consolidation",25.38,0.3,7.80829
"11471","default","debt_consolidation",22.83,0.5,17.8067
"5786","default","debt_consolidation",22.47,0.65,1.56019
"8501","default","credit_card",11.64,0.6,13.6776
"32345","paid off","home_improvement",13.91,0.7,2.32229
"40814","paid off","debt_consolidation",29.97,0.55,14.73
"31506","paid off","credit_card",25.42,0.75,5.77415
"22071","default","debt_consolidation",27.5,0.6,14.7003
"8760","default","debt_consolidation",18.72,0.5,6.8932
"9467","default","home_improvement",15.41,0.5,12.804
"36089","paid off","debt_consolidation",20.96,0.7,9.01168
"8824","default","credit_card",29.07,0.3,15.0219
"36871","paid off","debt_consolidation",14.92,0.7,3.31182
"15016","default","debt_consolidation",15.33,0.65,10.9084
"27811","paid off","other",15.69,0.4,1.64076
"31477","paid off","major_purchase",0.6,0.6,5.9967
"16443","default","debt_consolidation",8.95,0.55,5.82789
"27974","paid off","credit_card",5.61,0.6,3.56895
"32565","paid off","debt_consolidation",25.41,0.6,13.3063
"5276","default","small_business",1.57,0.35,9.58608
"9853","default","major_purchase",19.11,0.45,2.3757
"9597","default","other",30.6,0.45,15.6752
"29012","paid off","other",12.53,0.6,2.07563
"7993","default","small_business",25.23,0.75,12.9764
"14378","default","debt_consolidation",24.82,0.35,10.5487
"22808","default","debt_consolidation",21.91,0.5,5.06023
"22378","default","debt_consolidation",13.03,0.6,11.1843
"700","default","debt_consolidation",13.65,0.55,14.8086
"9022","default","debt_consolidation",7.75,0.7,9.5474
"32061","paid off","other",8.02,0.7,8.983
"17635","default","debt_consolidation",16.71,0.5,8.64794
"2782","default","debt_consolidation",15.14,0.35,12.765
"35404","paid off","debt_consolidation",4.86,0.7,1.86972
"41582","paid off","credit_card",30.18,0.5,8.74125
"45473","paid off","debt_consolidation",15.51,0.55,1.40852
"28218","paid off","major_purchase",23.25,0.45,2.89577
"32473","paid off","debt_consolidation",8.42,0.35,5.36218
"44026","paid off","debt_consolidation",9.06,0.4,16.3538
"6893","default","debt_consolidation",26.13,0.35,9.93493
"31532","paid off","debt_consolidation",18.08,0.5,5.12226
"45242","paid off","debt_consolidation",22.42,0.45,4.42144
"44608","paid off","small_business",1.53,0.85,9.12639
"46149","paid off","debt_consolidation",10.34,0.55,9.59132
"41086","paid off","other",3.27,0.7,2.3808
"38554","paid off","debt_consolidation",8.36,0.75,10.5946
"22948","default","small_business",9.36,0.55,12.842
"23380","paid off","major_purchase",4.8,0.65,2.64634
"35870","paid off","other",15.62,0.6,2.74391
"25168","paid off","other",19.82,0.4,1.1994
"33438","paid off","credit_card",12.85,0.5,5.19513
"118","default","other",20.25,0.35,9.52015
"23072","default","debt_consolidation",18.89,0.7,10.4786
"11667","default","home_improvement",11.42,0.4,5.8448
"24474","paid off","debt_consolidation",26.7,0.5,4.05608
"7052","default","debt_consolidation",30.49,0.5,15.2105
"7909","default","debt_consolidation",28.54,0.55,12.249
"23968","paid off","debt_consolidation",17.28,0.45,9.73952
"23970","paid off","credit_card",20.95,0.55,6.92815
"45544","paid off","debt_consolidation",14.84,0.45,10.498
"5155","default","debt_consolidation",6.6,0.65,2.34771
"2403","default","credit_card",20.35,0.3,7.00434
"24451","paid off","credit_card",16.44,0.4,5.8395
"17843","default","debt_consolidation",24.53,0.65,8.23981
"20308","default","home_improvement",5.31,0.65,13.8591
"46046","paid off","debt_consolidation",22.25,0.45,15.3531
"13194","default","credit_card",32.47,0.55,14.1573
"7193","default","debt_consolidation",20.4,0.4,13.4863
"45182","paid off","major_purchase",4.17,0.5,11.8167
"29329","paid off","debt_consolidation",15.4,0.45,9.38945
"31861","paid off","debt_consolidation",21.26,0.55,6.32148
"34326","paid off","home_improvement",11.96,0.8,5.7156
"33876","paid off","debt_consolidation",10.26,0.35,8.6841
"4688","default","home_improvement",18.07,0.45,13.7863
"39274","paid off","debt_consolidation",34.22,0.45,6.18238
"30852","paid off","debt_consolidation",20.78,0.45,12.8735
"35749","paid off","major_purchase",9.95,0.65,4.93873
"6168","default","debt_consolidation",31.44,0.3,8.7597
"16500","default","debt_consolidation",14.19,0.35,14.2467
"32488","paid off","major_purchase",5.8,0.6,13.9073
"33946","paid off","credit_card",27.03,0.35,13.0978
"39607","paid off","debt_consolidation",26.94,0.35,9.44329
"22499","default","credit_card",24.53,0.45,9.324
"3577","default","debt_consolidation",16.62,0.55,1.02219
"1272","default","debt_consolidation",18.23,0.35,9.34686
"29795","paid off","major_purchase",8.48,0.65,13.5378
"15342","default","credit_card",31.47,0.25,5.7633
"10198","default","debt_consolidation",30.21,0.55,14.9661
"9339","default","other",13.05,0.45,2.98871
"19368","default","credit_card",25.68,0.6,5.5959
"7316","default","debt_consolidation",20.08,0.4,11.7156
"13922","default","debt_consolidation",9.41,0.45,18.7111
"6124","default","debt_consolidation",20.18,0.35,5.37207
"42829","paid off","debt_consolidation",25.11,0.65,3.55103
"36381","paid off","debt_consolidation",17.88,0.7,8.256
"30059","paid off","credit_card",28.68,0.6,10.8857
"42055","paid off","debt_consolidation",19.9,0.6,8.35773
"43478","paid off","debt_consolidation",15.43,0.35,12.2883
"21930","default","debt_consolidation",28.05,0.25,11.1024
"29639","paid off","debt_consolidation",12.58,0.4,7.26547
"7401","default","debt_consolidation",18.9,0.5,12.2311
"35008","paid off","credit_card",19.14,0.75,11.6989
"44131","paid off","credit_card",17.11,0.6,3.7334
"42057","paid off","credit_card",16.2,0.45,6.85706
"13379","default","credit_card",18.64,0.5,6.54497
"14034","default","debt_consolidation",11.76,0.35,13.6452
"4660","default","small_business",9.01,0.55,10.392
"1495","default","small_business",3.34,0.4,4.38495
"27999","paid off","debt_consolidation",12.11,0.6,1.73435
"14083","default","debt_consolidation",24.07,0.55,5.28554
"23868","paid off","debt_consolidation",1.78,0.8,2.93568
"18094","default","debt_consolidation",28.24,0.55,14.7165
"25121","paid off","debt_consolidation",20.5,0.45,7.83609
"33348","paid off","debt_consolidation",18.42,0.6,6.4902
"31284","paid off","other",4.46,0.65,3.64344
"692","default","major_purchase",13.12,0.6,2.9444
"3693","default","debt_consolidation",11.56,0.35,7.419
"20687","default","other",8.81,0.6,5.4984
"11580","default","credit_card",22.02,0.55,12.3024
"18913","default","debt_consolidation",21.51,0.45,6.17376
"44083","paid off","debt_consolidation",21.28,0.5,13.9751
"19315","default","debt_consolidation",8.96,0.65,9.92129
"24417","paid off","debt_consolidation",13.46,0.4,10.738
"32660","paid off","debt_consolidation",9.74,0.65,8.6754
"27439","paid off","other",12.86,0.5,4.01918
"35397","paid off","credit_card",12.73,0.5,5.5112
"13890","default","debt_consolidation",14.62,0.25,7.05826
"7668","default","debt_consolidation",20.98,0.5,6.12592
"45810","paid off","small_business",8.25,0.6,18.0194
"45096","paid off","medical",12.68,0.6,4.6159
"39052","paid off","debt_consolidation",19.05,0.5,11.3316
"45131","paid off","debt_consolidation",3.09,0.6,13.4129
"11834","default","debt_consolidation",23.95,0.6,10.3743
"15286","default","other",18.84,0.45,11.4735
"30660","paid off","debt_consolidation",12.9,0.55,5.61375
"17163","default","credit_card",30.62,0.35,17.148
"24977","paid off","major_purchase",1.6,0.6,3.65013
"25929","paid off","debt_consolidation",14.96,0.45,4.89453
"34754","paid off","small_business",26.32,0.7,10.4992
"9702","default","debt_consolidation",7.08,0.65,7.9152
"7887","default","major_purchase",18.94,0.6,1.61712
"32510","paid off","debt_consolidation",24.08,0.25,10.5838
"27404","paid off","credit_card",14.42,0.55,11.8053
"44252","paid off","debt_consolidation",15.36,0.55,9.9629
"44743","paid off","credit_card",13.38,0.65,4.32488
"10906","default","debt_consolidation",22.4,0.3,10.292
"42977","paid off","credit_card",20.1,0.65,8.95638
"40778","paid off","debt_consolidation",2.4,0.5,12.5697
"41047","paid off","debt_consolidation",14.56,0.5,3.67249
"6404","default","credit_card",28.5,0.45,13.684
"1782","default","other",19.27,0.5,8.25303
"13152","default","credit_card",10.39,0.5,14.7803
"4822","default","small_business",18.53,0.55,13.2622
"22108","default","credit_card",13.59,0.55,6.21969
"3808","default","debt_consolidation",20.42,0.35,2.92173
"11483","default","major_purchase",31.38,0.4,9.87241
"10805","default","debt_consolidation",1.9,0.6,9.31464
"14196","default","debt_consolidation",20.74,0.5,15.9866
"15071","default","home_improvement",7.97,0.35,2.812
"45653","paid off","debt_consolidation",10.32,0.7,7.28686
"45452","paid off","other",8.73,0.5,4.05845
"5486","default","credit_card",22.95,0.5,5.85316
"139","default","credit_card",5.06,0.65,5.79371
"35359","paid off","other",16.03,0.6,1.59227
"13028","default","debt_consolidation",15.65,0.5,13.6269
"27878","paid off","debt_consolidation",3.61,0.55,6.66802
"19075","default","debt_consolidation",15.48,0.55,7.80207
"19541","default","home_improvement",12.5,0.3,7.85243
"326","default","debt_consolidation",15.21,0.35,7.5477
"36064","paid off","home_improvement",27,0.55,3.2804
"27536","paid off","debt_consolidation",6.91,0.6,5.34156
"32802","paid off","debt_consolidation",23.47,0.3,9.01915
"7248","default","debt_consolidation",20.7,0.4,10.2752
"14216","default","debt_consolidation",14.5,0.55,9.73937
"3846","default","credit_card",20.16,0.55,7.54292
"44501","paid off","debt_consolidation",7.66,0.5,6.27684
"43014","paid off","credit_card",17.64,0.5,6.29513
"15217","default","debt_consolidation",29.1,0.45,4.9742
"39629","paid off","debt_consolidation",26.65,0.6,7.10312
"6819","default","debt_consolidation",15.22,0.45,2.96174
"26096","paid off","credit_card",27.2,0.45,10.647
"23329","paid off","debt_consolidation",12.44,0.4,7.3812
"25116","paid off","credit_card",18.48,0.35,8.2386
"27468","paid off","debt_consolidation",14.6,0.5,4.75458
"20522","default","debt_consolidation",18.67,0.5,8.4345
"17686","default","other",26.19,0.4,8.76715
"8953","default","credit_card",25.56,0.55,13.0568
"31540","paid off","debt_consolidation",19.8,0.35,14.2904
"34977","paid off","credit_card",14.47,0.7,5.004
"15600","default","medical",12.32,0.6,2.4496
"11252","default","debt_consolidation",3.69,0.55,10.5177
"20510","default","debt_consolidation",15.38,0.5,13.6751
"1232","default","major_purchase",17.78,0.35,11.6987
"1051","default","debt_consolidation",10.99,0.55,15.4858
"26945","paid off","other",18.85,0.5,2.65774
"31213","paid off","other",8.04,0.6,1.22181
"41380","paid off","debt_consolidation",7.25,0.55,1.39167
"37395","paid off","home_improvement",15.18,0.4,8.57051
"30491","paid off","debt_consolidation",18.55,0.5,2.56693
"3899","default","other",11.29,0.45,1.15662
"6354","default","debt_consolidation",8.4,0.45,6.83489
"37646","paid off","credit_card",17.85,0.75,3.67865
"30409","paid off","credit_card",6.77,0.7,2.5472
"1369","default","other",23.07,0.25,10.5348
"45312","paid off","credit_card",10.5,0.6,6.63397
"11301","default","credit_card",4.92,0.25,6.9228
"3797","default","debt_consolidation",15.84,0.35,6.301
"4314","default","credit_card",6.85,0.4,11.2825
"34054","paid off","small_business",4.29,0.75,6.7236
"8548","default","debt_consolidation",9.04,0.65,7.92
"24126","paid off","debt_consolidation",21.28,0.4,8.73943
"16438","default","debt_consolidation",22.92,0.45,15.6826
"23901","paid off","credit_card",16.86,0.45,7.02786
"6476","default","debt_consolidation",21.64,0.35,9.05709
"38517","paid off","debt_consolidation",19.57,0.45,1.81311
"1832","default","debt_consolidation",15.31,0.55,4.1162
"4117","default","other",21.05,0.3,10.7214
"1064","default","debt_consolidation",14.9,0.65,9.37479
"17472","default","home_improvement",21.02,0.6,1.54555
"18899","default","debt_consolidation",19.1,0.5,9.68263
"34882","paid off","debt_consolidation",21.29,0.55,12.9909
"14564","default","debt_consolidation",26.88,0.55,6.95778
"20790","default","debt_consolidation",23.31,0.25,11.0486
"41818","paid off","debt_consolidation",11.28,0.5,6.33615
"32890","paid off","debt_consolidation",19.79,0.4,13.7794
"34110","paid off","debt_consolidation",27.35,0.5,15.6204
"33798","paid off","debt_consolidation",9.8,0.65,10.7096
"4763","default","debt_consolidation",11.76,0.45,7.11028
"10115","default","debt_consolidation",25.72,0.55,6.5518
"10060","default","debt_consolidation",16.9,0.4,7.20789
"37428","paid off","debt_consolidation",12.87,0.55,6.84488
"15260","default","debt_consolidation",22.75,0.45,15.6242
"36404","paid off","debt_consolidation",20.82,0.3,5.78931
"7524","default","credit_card",31.37,0.3,13.7596
"9653","default","credit_card",18.96,0.6,11.2556
"41787","paid off","debt_consolidation",4.34,0.6,15.6288
"17910","default","debt_consolidation",19.05,0.6,11.7108
"46262","paid off","other",9.3,0.5,5.97877
"16634","default","debt_consolidation",18.83,0.3,15.3997
"5569","default","other",23.54,0.6,6.11705
"32585","paid off","credit_card",11.35,0.6,10.1808
"40796","paid off","debt_consolidation",12.06,0.4,9.71347
"38428","paid off","debt_consolidation",7.61,0.55,6.93212
"19090","default","debt_consolidation",17.37,0.35,11.8301
"2978","default","credit_card",23.57,0.25,9.76664
"14352","default","other",22.59,0.3,8.60563
"20255","default","credit_card",13.99,0.6,7.23671
"15650","default","debt_consolidation",18.14,0.55,6.00792
"11240","default","small_business",16.25,0.55,13.8282
"31525","paid off","major_purchase",11.62,0.45,11.7425
"34959","paid off","debt_consolidation",13.27,0.2,10.0546
"27623","paid off","debt_consolidation",12.86,0.5,2.98576
"44275","paid off","debt_consolidation",3.01,0.8,2.59615
"11593","default","credit_card",11.64,0.4,11.4516
"20432","default","credit_card",5.22,0.5,5.4784
"17893","default","other",13.62,0.35,4.98068
"23296","paid off","debt_consolidation",12.51,0.55,2.86044
"39162","paid off","major_purchase",2.67,0.75,3.15823
"22701","default","debt_consolidation",7.65,0.55,12.2145
"31453","paid off","debt_consolidation",17.13,0.55,6.0009
"4338","default","small_business",18.05,0.3,14.5118
"1913","default","debt_consolidation",22.26,0.5,12.3945
"9458","default","credit_card",10.11,0.6,7.72683
"389","default","debt_consolidation",9.26,0.3,6.00706
"17975","default","debt_consolidation",24.47,0.2,13.2092
"27553","paid off","debt_consolidation",12.8,0.65,11.4377
"28814","paid off","other",17.41,0.65,5.62189
"9751","default","debt_consolidation",18.08,0.35,9.01318
"17972","default","debt_consolidation",27.94,0.5,2.94343
"36507","paid off","debt_consolidation",10.43,0.35,12.1267
"37594","paid off","major_purchase",4.7,0.4,10.315
"23263","paid off","debt_consolidation",6.44,0.5,10.3219
"22667","default","debt_consolidation",17.84,0.4,11.5579
"40193","paid off","debt_consolidation",17.24,0.55,2.67084
"2570","default","small_business",1.74,0.5,3.162
"11864","default","credit_card",24.54,0.6,9.927
"36992","paid off","credit_card",14.23,0.6,3.96991
"19059","default","credit_card",24.94,0.4,5.03481
"1560","default","debt_consolidation",21.11,0.65,14.2437
"10979","default","debt_consolidation",20.83,0.5,12.9859
"12045","default","debt_consolidation",8,0.35,4.13987
"44095","paid off","home_improvement",3.93,0.5,17.4627
"27792","paid off","debt_consolidation",15.68,0.4,10.1611
"44239","paid off","home_improvement",10.1,0.65,4.3732
"44855","paid off","debt_consolidation",6.17,0.75,9.16837
"27838","paid off","credit_card",15.95,0.6,6.33946
"17329","default","debt_consolidation",27.86,0.2,12.9418
"20150","default","medical",25.16,0.55,3.83926
"32865","paid off","debt_consolidation",7.88,0.6,7.98258
"39626","paid off","debt_consolidation",13.7,0.3,22.6191
"320","default","debt_consolidation",10.45,0.45,7.06985
"3263","default","debt_consolidation",11.55,0.65,7.52902
"8109","default","credit_card",18.24,0.7,6.8164
"29319","paid off","home_improvement",23.81,0.45,12.2553
"44888","paid off","debt_consolidation",13.4,0.65,7.24258
"39746","paid off","debt_consolidation",7.44,0.6,5.42753
"19564","default","debt_consolidation",20.79,0.55,22.115
"27783","paid off","debt_consolidation",22.79,0.25,5.16229
"26303","paid off","debt_consolidation",12.55,0.4,12.598
"14559","default","debt_consolidation",15.89,0.25,6.8892
"41113","paid off","other",6.68,0.65,7.7102
"41668","paid off","debt_consolidation",8.86,0.5,10.3917
"41374","paid off","debt_consolidation",9.65,0.4,12.7766
"23438","paid off","major_purchase",11.69,0.6,4.93108
"13706","default","debt_consolidation",16.71,0.3,7.14653
"37868","paid off","credit_card",9.19,0.4,9.05727
"26245","paid off","other",19,0.5,2.83967
"19745","default","other",1.81,0.45,3.58221
"4581","default","debt_consolidation",16.46,0.6,19.8697
"33236","paid off","debt_consolidation",16.9,0.5,12.5162
"41714","paid off","debt_consolidation",20.92,0.45,16.1361
"8070","default","debt_consolidation",17.64,0.15,4.56918
"1157","default","other",20.6,0.55,2.492
"39431","paid off","debt_consolidation",4.57,0.65,12.8105
"19227","default","debt_consolidation",9.51,0.45,6.50486
"29249","paid off","debt_consolidation",4.88,0.4,14.6031
"10795","default","credit_card",9.07,0.35,8.68467
"1142","default","other",10.06,0.45,6.48754
"993","default","debt_consolidation",21.07,0.45,13.4654
"27494","paid off","debt_consolidation",9.9,0.65,7.45761
"4167","default","debt_consolidation",4.32,0.3,19.3852
"12112","default","debt_consolidation",14.68,0.35,5.46918
"27618","paid off","debt_consolidation",17.82,0.6,14.654
"21997","default","debt_consolidation",2,0.55,3.72225
"38383","paid off","debt_consolidation",16.8,0.45,15.1014
"12673","default","debt_consolidation",15.83,0.5,18.7884
"7911","default","debt_consolidation",22.91,0.6,2.96168
"22440","default","debt_consolidation",16.11,0.55,8.29323
"27434","paid off","debt_consolidation",21.27,0.6,11.794
"26268","paid off","small_business",19.28,0.45,3.31511
"24745","paid off","debt_consolidation",27.5,0.5,15.6117
"36080","paid off","other",1.22,0.6,9.04786
"27065","paid off","credit_card",7.58,0.55,3.31895
"38379","paid off","debt_consolidation",15.7,0.45,4.0378
"29021","paid off","debt_consolidation",27.36,0.5,10.6959
"41079","paid off","small_business",11.91,0.6,8.5536
"15656","default","debt_consolidation",34.42,0.25,14.2227
"30248","paid off","major_purchase",3.73,0.75,1.82505
"16157","default","credit_card",21.74,0.35,16.7124
"34954","paid off","home_improvement",4.61,0.75,3.40907
"42578","paid off","debt_consolidation",8.42,0.5,1.43438
"45092","paid off","credit_card",17.8,0.6,7.9847
"4765","default","other",7.8,0.65,26.3774
"39193","paid off","debt_consolidation",20.43,0.5,0.620435
"19345","default","debt_consolidation",15.72,0.55,5.67686
"44579","paid off","debt_consolidation",14.54,0.55,4.95716
"629","default","debt_consolidation",22.66,0.4,11.9713
"15118","default","debt_consolidation",28.83,0.35,15.8037
"28297","paid off","home_improvement",1.4,0.75,6.32283
"10153","default","debt_consolidation",34.8,0.4,4.979
"35831","paid off","debt_consolidation",19.31,0.65,3.50976
"32158","paid off","credit_card",23.89,0.35,14.4332
"33640","paid off","credit_card",11.24,0.45,2.63793
"37830","paid off","debt_consolidation",17.33,0.6,4.57867
"5628","default","small_business",20.82,0.4,7.02986
"4865","default","other",14.46,0.6,13.5671
"27649","paid off","credit_card",31.97,0.65,12.7082
"27863","paid off","debt_consolidation",7.37,0.7,3.39382
"11507","default","credit_card",22.77,0.45,10.4489
"41403","paid off","credit_card",4.08,0.35,12.7198
"40296","paid off","debt_consolidation",34.5,0.6,17.1074
"2269","default","debt_consolidation",3.71,0.7,17.6285
"493","default","home_improvement",23.16,0.4,16.7333
"40146","paid off","debt_consolidation",31.46,0.55,6.02089
"5290","default","small_business",3.83,0.7,1.54892
"27603","paid off","debt_consolidation",23.75,0.5,11.1064
"28927","paid off","credit_card",28.84,0.55,15.2285
"33497","paid off","small_business",9.75,0.6,9.1833
"18841","default","debt_consolidation",17.73,0.4,11.9376
"34926","paid off","debt_consolidation",26.04,0.5,2.6748
"19583","default","debt_consolidation",29.74,0.7,13.5303
"14273","default","debt_consolidation",24.87,0.35,11.0149
"5502","default","other",15.82,0.6,5.84483
"6976","default","debt_consolidation",28.35,0.55,14.4017
"24286","paid off","small_business",3.55,0.55,6.27051
"14117","default","debt_consolidation",16.06,0.55,9.8388
"11029","default","credit_card",9.56,0.6,15.0589
"11003","default","credit_card",7.61,0.35,13.4329
"20424","default","debt_consolidation",13.59,0.4,6.8579
"26142","paid off","credit_card",26.27,0.65,6.85872
"45466","paid off","home_improvement",5.72,0.4,4.2945
"29768","paid off","debt_consolidation",17.19,0.5,8.53174
"1749","default","debt_consolidation",13.16,0.65,18.3491
"43574","paid off","debt_consolidation",13.23,0.55,11.638
"26467","paid off","debt_consolidation",18.03,0.4,8.89998
"6730","default","major_purchase",13.29,0.6,9.68083
"38474","paid off","debt_consolidation",27.59,0.35,13.4203
"5541","default","other",24.55,0.4,10.6685
"13459","default","debt_consolidation",15.37,0.65,15.6452
"9284","default","debt_consolidation",26.71,0.55,5.014
"4194","default","debt_consolidation",20.63,0.45,5.455
"31450","paid off","debt_consolidation",10.8,0.5,8.2476
"37956","paid off","credit_card",13.11,0.7,8.3316
"45110","paid off","other",23.04,0.45,2.40163
"32929","paid off","debt_consolidation",9.29,0.35,6.38013
"14373","default","debt_consolidation",16.28,0.6,11.8099
"31643","paid off","debt_consolidation",33.23,0.4,5.65539
"11290","default","debt_consolidation",7.02,0.5,7.96064
"14741","default","debt_consolidation",32.65,0.45,14.047
"39443","paid off","other",19.21,0.5,4.016
"34126","paid off","other",16.29,0.5,4.97984
"8842","default","debt_consolidation",20.28,0.45,10.3618
"10410","default","debt_consolidation",21.74,0.55,5.82531
"23499","paid off","debt_consolidation",20.15,0.45,7.90636
"22809","default","debt_consolidation",10.62,0.4,11.5608
"10218","default","debt_consolidation",24.94,0.5,5.96382
"42581","paid off","debt_consolidation",8.74,0.65,4.58914
"40772","paid off","debt_consolidation",16.53,0.45,13.1003
"36798","paid off","home_improvement",20.46,0.45,15.525
"41018","paid off","other",23.65,0.45,5.80435
"3666","default","debt_consolidation",14.5,0.6,3.187
"59","default","credit_card",21.83,0.5,12.4035
"26427","paid off","debt_consolidation",19.15,0.65,1.34023
"24184","paid off","debt_consolidation",13.73,0.35,12.6484
"22504","default","home_improvement",17.43,0.35,8.1165
"19981","default","debt_consolidation",16.3,0.5,10.9215
"30471","paid off","debt_consolidation",19.3,0.55,16.7572
"27737","paid off","debt_consolidation",21.34,0.5,10.3997
"39988","paid off","debt_consolidation",34.13,0.25,18.4214
"38195","paid off","credit_card",14.82,0.25,7.82267
"24915","paid off","debt_consolidation",13.77,0.65,6.80795
"42037","paid off","credit_card",3.94,0.5,8.0856
"45341","paid off","credit_card",16.45,0.55,2.14863
"21850","default","credit_card",24.7,0.55,6.32418
"14903","default","debt_consolidation",10.13,0.55,9.01509
"9707","default","debt_consolidation",26.91,0.75,13.2818
"30621","paid off","debt_consolidation",16.49,0.75,14.2334
"11442","default","debt_consolidation",29.04,0.3,8.44104
"2591","default","other",18.9,0.45,5.068
"26799","paid off","debt_consolidation",9.86,0.45,9.38712
"22084","default","debt_consolidation",26.79,0.5,3.97914
"18971","default","debt_consolidation",21.69,0.4,8.35957
"8777","default","debt_consolidation",20.72,0.3,14.2325
"18115","default","debt_consolidation",24.55,0.45,15.0464
"33954","paid off","home_improvement",18.61,0.7,7.4994
"30521","paid off","small_business",2.76,0.6,16.0556
"19122","default","credit_card",22.96,0.3,4.435
"42444","paid off","credit_card",11.19,0.55,7.47885
"28657","paid off","debt_consolidation",14.79,0.45,3.85957
"20985","default","debt_consolidation",16.91,0.4,9.94594
"42932","paid off","credit_card",25.14,0.4,3.34782
"15132","default","debt_consolidation",23.86,0.8,11.5867
"40461","paid off","major_purchase",12.25,0.65,2.4128
"23281","paid off","debt_consolidation",13.61,0.65,11.6345
"825","default","other",0.22,0.45,9.70171
"24032","paid off","other",20.33,0.5,8.33064
