RegionName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05
Arlington,VA,Washington,51,13,191400,190300,189800,189400,188900,188400,187900,187000,186300,186400,186900,187300,187500,187500,186900,186500,186500,186600,187000,188300,189700,190700,191600,192400,192800,193200,193700,193800,193900,194600,196100,197500,199200,201200,202400,203000,204100,205300,206300,207900,210100,212300,213800,215400,217600,219900,221600,223400,225400,228900,233500,238000,241100,244000,247300,250600,253800,257600,261200,264000,267400,271500,275200,279700,285100,290900,296900,302500,307700,313400,320100,326900,332400,336000,339100,342100,346000,350400,354400,358400,362700,366400,370000,374600,379200,383400,387300,391500,396600,401400,406400,412400,418200,423600,430100,438000,446800,455400,464100,473100,481900,490300,498300,505300,511500,517500,524400,532600,541400,550200,557100,562000,565600,568700,571200,573700,576200,576700,573800,569300,565200,562400,560900,559500,557100,553800,551000,549600,548900,549000,549700,550100,550300,550100,549500,548800,547500,545600,542700,538400,535700,535200,534400,532300,529600,526200,523400,520400,516600,513600,512200,510600,508400,506800,506600,506600,506400,506600,507300,508600,510700,512400,513300,514000,514700,515800,517500,518900,518600,517500,516600,516900,518000,519200,521000,522900,523700,523400,523300,523400,524600,526400,527600,528300,529300,530400,532100,534500,536600,537700,538900,540000,541500,542700,544300,545700,547200,548900,551300,554300,556300,556000,555900,559200,565300,571900,578300,585000,591600,597300,601300,603600,607200,612800,617000,618300,619600,620700,619800,618600,618800,619600,620500,621600,622600,624300,626700,627600,625600,623200
Gaston,NC,Charlotte,37,71,74600,75200,75700,76200,76600,76800,76700,76700,76900,77100,77400,77500,77400,77400,77400,77300,77300,77400,77800,78300,78600,78900,79400,79800,80200,80600,81100,81500,81800,82200,82600,82900,83300,83800,84100,84300,84500,85000,85300,85600,86100,86700,87300,88000,88700,89300,89900,90200,90300,90600,91100,91600,91800,91900,92000,91900,92200,92700,93000,93000,93100,93100,93200,93500,94000,94500,94500,94300,94200,94100,94400,94900,95200,95300,95200,95200,95100,94900,95200,95700,95900,96200,96700,96800,96800,97000,97300,97300,97400,97600,97800,97800,97900,98000,98000,98200,98700,99100,99200,99300,99400,99500,99700,99800,99700,99800,100100,100200,100100,100000,100200,100600,100800,100800,100900,101400,102000,102200,101700,100900,100000,99200,98600,98100,98000,98000,98200,98200,98200,98400,99000,100200,101500,102600,103400,104200,104500,104800,105300,106000,106600,106700,106700,106500,106400,106400,106200,105900,105900,105800,105100,104100,103100,102600,102400,102300,102300,102700,103100,103200,103400,103600,103300,103000,103100,102500,101400,100900,100800,100400,100000,99700,99300,98500,97700,97000,96400,95900,95500,95100,94200,93100,92000,91100,90700,90900,91100,91000,90900,91000,91100,91000,90900,91200,91800,92100,92200,92500,92900,93000,92800,93200,93700,94100,94100,94400,95300,96200,96200,95800,95900,96500,97200,97800,98300,98600,98600,98400,98200,98200,98200,98300,98700,99600,100100,100500,101000,101700,102900,104000
Richmond City,VA,Richmond,51,760,64900,64300,64100,64100,64200,64200,64400,64600,65000,65300,65500,65600,65600,65800,66100,66400,66700,66900,67300,67700,68000,68100,68400,68800,69000,69100,69100,69300,69600,70200,70500,70800,71000,71300,71700,72300,73000,73700,74100,74400,74700,74800,74900,75400,75900,76000,75900,75900,76300,76800,77500,78000,78400,78800,79300,79700,80200,80900,81500,82200,82800,83200,83400,83500,83500,83700,84000,84300,84800,85200,85800,86300,86900,87700,88500,89200,89900,90700,91500,92200,92800,93800,94600,95100,95500,95900,96200,96900,97800,98700,99600,100500,101300,102300,103700,105000,106100,107300,109000,110700,111800,112600,113200,114200,115500,116600,117600,119000,120900,122800,124500,126200,128300,131000,133600,135000,136200,137800,139400,140900,142200,143300,144100,144800,145500,146100,146600,147300,148100,148400,148300,148300,148800,149700,150300,150300,150100,149700,149400,149900,151200,152600,153400,153200,152500,151300,149900,149000,148300,147700,147600,147400,146300,145000,144000,143500,143100,143300,143600,143900,143900,143600,143200,142600,141200,139900,139500,139500,138900,138200,137500,137300,137100,137000,136700,136400,136100,135600,134700,133700,132700,131400,130400,129800,129400,129100,128700,128200,127800,127700,127600,127700,127900,128000,128100,127900,127600,127300,127200,127100,127400,127900,128900,130100,131500,132800,133800,134300,135000,135700,136400,136900,137400,137800,138000,137800,137400,137300,138100,139100,139700,139700,139300,139300,140000,140500,140600,140400,140900,141600
Henry,GA,Atlanta,13,151,109600,109800,110400,110900,110700,110400,110600,110600,110000,109400,109300,109500,109600,109800,110300,111100,111600,111600,111600,111800,112300,113400,114100,114600,115200,116000,116200,116400,116600,117500,118400,118800,118600,118700,119300,119600,119700,119700,119800,120300,121300,122300,122800,123300,124200,125600,126700,127200,128000,129700,131500,132300,132200,131900,132500,133700,134500,134700,134700,134900,135500,135800,135600,135300,135300,135500,135700,136000,136500,137300,137900,138300,138300,138700,139100,139200,139700,140500,140700,140800,141300,141700,142000,142400,142400,142100,141800,141700,141900,142000,142100,142200,142600,142900,143200,143200,143100,143200,143700,144500,145000,145300,146000,146600,146300,145900,146200,146700,147000,147500,148100,148900,150000,150900,151700,152600,153500,154300,154600,155000,155800,156500,157100,158000,158800,159600,159700,159400,159400,159300,158700,158200,157700,157100,156400,155800,155300,154400,153600,152800,151400,149300,146900,144700,142800,141300,139900,138300,136600,135100,133400,130700,128500,128600,129900,130100,129800,129100,128000,126700,125400,124300,124000,125000,126800,127800,127700,127400,127100,126700,126100,125400,124800,124600,123900,122600,120900,118900,117800,117700,116800,114900,113100,110800,108200,105400,103200,101900,101100,100400,99800,99500,99700,100200,101000,102100,103600,105400,107000,108300,109800,111500,112700,113900,115400,116700,118000,119600,121000,122100,123300,124500,124900,124600,123800,122800,122700,124200,126000,127500,129000,130100,131100,132000,132400,132700,133700,135000,135900,136300
Jackson,OR,Medford,41,29,111300,111500,111800,112000,112100,111900,111700,111900,112400,113200,114200,114800,114900,115100,115500,115800,116200,116700,117200,117400,117700,118400,118900,119000,119300,119400,119300,119300,119300,119400,119600,120000,120600,121300,121900,122600,123100,123600,124100,124600,125200,126000,127300,128800,129400,129200,129600,131100,132800,134000,134700,135300,136100,136800,137300,138000,138800,139700,140700,141800,142700,143300,143700,144400,145100,145600,145900,146300,147100,148000,148900,149500,149700,150000,151200,152700,154000,155300,156500,157300,158800,161000,163000,164700,166700,169300,171900,174500,176900,179600,182300,185100,187600,189900,191800,193300,195300,198300,201900,206100,210700,215700,221000,226500,231800,236700,241300,245600,250200,255200,260400,265000,269400,273800,278000,282100,285300,286000,285900,286600,287800,288400,287900,286000,282800,279200,276300,273800,271100,269300,269200,269600,269200,267900,266800,266300,265300,263100,260700,257900,254500,251300,249300,248500,248000,245800,241200,236400,232700,229900,226300,221800,218400,218000,218300,217600,215900,213900,211600,209600,207700,206100,204600,203700,203500,202700,201100,199600,198200,196900,196300,196100,195700,195000,194400,193500,192100,189900,187100,183800,180700,178100,175900,173900,172700,172300,171700,171300,171500,171800,171900,172100,172600,173600,174700,175700,176500,177500,178200,178800,179500,180600,181400,182000,182800,184000,185900,188300,190200,191400,194000,197700,200700,202300,203300,203200,202700,202900,204200,205800,207600,209200,210400,211500,212400,212800,213400,214400,215800,217200
Washington,AR,Fayetteville,5,143,77200,78500,79800,81200,82300,83600,84300,84600,84600,84200,83600,83300,83700,84100,84400,84000,83900,83800,84200,84400,84600,84800,85400,86100,86100,85200,84300,83800,83200,82700,82400,83000,84100,84900,85400,85600,85700,85800,86000,86100,85900,85900,86400,86700,87000,87900,88600,89000,89200,89400,89900,90600,91200,91500,91700,91900,91700,91600,92000,92500,92600,92800,92800,93000,93600,93600,93100,93100,93800,95100,96700,98200,99800,100900,102200,103200,103700,104100,104800,105200,105600,105900,106400,106900,107300,107700,108100,108600,109300,110700,112000,112800,113300,114300,115500,116600,117600,118600,119800,121300,123200,125800,128400,130500,133000,135500,137100,137800,138400,139300,139800,140400,141700,143300,144500,145700,145400,142900,140700,141000,143000,145300,146700,147200,146600,145600,144600,144000,144000,144300,144600,144500,143500,142000,141100,140600,139800,139800,141000,141400,140400,139800,139600,138900,138500,138600,138600,138600,138700,137100,134300,133400,134600,135900,136400,136400,135500,134200,133500,133400,133300,132600,132000,131700,131800,132200,132300,131900,132000,132600,133100,133100,132700,132400,132000,131500,130700,129800,129300,128600,127600,126500,125600,124800,124100,123700,123600,123100,122500,122200,122300,122500,122700,122900,123200,123900,124900,126400,127900,128300,128200,128500,129100,129300,129500,130200,130600,130700,131400,132600,133600,134300,135600,137000,138300,140900,144300,146300,146700,147100,147100,147100,147500,148100,147800,147300,147300,147200,146500,145700
New Hanover,NC,Wilmington,37,129,111000,111700,112500,113300,114200,114800,115000,114900,114600,114800,115400,116200,116600,117600,118800,119100,118700,118400,118300,118200,118900,121100,123900,125100,124600,123800,123600,123400,123800,124400,124500,124900,125600,125700,124700,123900,123800,124200,124400,125000,125600,125900,125600,125300,124900,124800,124800,124600,124200,124000,125100,127000,127700,128000,129100,129800,129800,130300,130600,130700,131500,132700,132700,132000,131900,132000,132300,133200,134000,133800,133800,134000,133700,133200,132800,133100,134000,135500,136800,137700,138200,138900,139800,140500,141000,141500,141800,141600,140700,139600,138900,139100,139600,140200,141100,142200,143300,144700,146300,148300,150600,152700,154700,157000,159800,162600,165000,167600,170900,174300,177500,180800,184600,188800,193100,197200,201500,205800,209900,214000,217800,220700,222800,224300,225700,226800,227300,227100,226800,226600,226400,226100,225500,224900,224400,223900,223600,223400,223300,222600,221500,220200,218900,217700,216900,216500,216300,215900,215000,213700,212300,210400,208300,207200,206700,205800,204400,203000,201600,200400,199600,199000,198000,197200,196000,194300,192800,191600,190400,189200,188000,186600,184800,182900,181600,180700,179700,178300,177000,175900,174700,173200,172100,171400,170900,169900,168900,168100,167800,167800,167400,166500,165800,165700,166000,166300,166900,167500,168000,168500,169100,169500,170100,170900,171700,172700,173500,174400,175300,176100,176900,177900,178600,179300,179900,180400,180800,180900,180900,180600,180400,180300,180700,181500,182400,183100,183700,184600,185600,186300
Union,NC,Charlotte,37,179,94900,94600,94400,94500,94900,95800,97200,98100,98600,99900,101900,103500,105700,108800,111600,114200,117100,119800,121400,122800,124100,124800,125400,126600,128100,129600,131300,132900,134000,134400,135000,136400,138000,138900,139700,140800,141800,142500,142900,143000,143200,143700,144300,145100,145800,146400,146500,146400,146600,147000,147600,147900,147700,147800,147800,147200,146800,147000,147600,147800,147600,147300,147400,147700,148000,148400,148800,148800,149000,149300,149500,150200,150800,150700,150700,151300,151700,151600,151700,152000,152300,153000,154100,155100,155700,156300,156600,157000,157400,157700,158000,159000,159800,160000,159800,159700,159900,160300,160200,160100,160300,160900,161000,160800,160800,161000,161300,161600,162300,163000,163600,163900,164300,164900,165700,166900,168100,168700,168900,169400,170100,170900,172200,173700,175200,176300,177100,177600,178300,179100,179600,179700,180000,180300,180500,180900,181200,181000,180400,179700,179400,179800,180300,180600,180700,180800,180600,180200,179200,178300,178700,179100,178100,176800,175900,175200,174200,173100,172300,171900,171300,170700,170100,169600,169000,168300,167700,167200,166900,166400,165800,164800,164300,164100,163600,163100,163200,163500,163900,163900,163400,163000,163000,162300,161600,161200,161200,161300,161600,161800,162000,162300,162800,163400,164100,164400,164400,164100,163900,163900,163900,163500,163300,163500,163300,162600,162400,163400,165500,167400,168900,170400,171800,172900,173100,173500,175300,177300,178100,178500,179000,179600,180000,179900,180000,180400,181300,182300,182700,182800
Whatcom,WA,Bellingham,53,73,131600,131800,131500,131300,131600,131700,131500,131600,131600,132100,133000,133900,134200,134200,134300,134700,134700,134600,134500,134600,135100,135900,136300,136200,135900,135600,135400,135500,135900,136800,138000,138900,139900,141200,142400,143400,144200,144800,145100,145400,146100,147100,147700,148400,149500,150500,151300,152300,153100,153400,153600,154300,155000,154600,153500,152300,151200,150100,149300,149300,150200,151600,152200,152000,152100,153100,155000,156900,158500,159700,161000,161800,162000,162200,163500,164900,165900,166200,166800,168000,169200,170300,171500,173300,175700,178200,180600,182500,183900,185600,187800,190300,193000,196500,199600,201900,203500,205400,208400,212900,217900,223000,227300,230700,233800,237000,240100,243600,248100,253300,258100,262000,265900,270400,274800,277700,279300,280300,281700,283700,285500,286400,286900,287100,286300,284800,283900,284700,286400,287400,287800,287900,288100,288400,289400,290600,291600,291100,289900,288900,287900,287800,288500,288700,287700,286000,283100,279700,277600,277100,276500,275100,274300,274300,274500,274100,273500,272700,271900,271300,270900,270300,269800,269500,268900,268200,267100,266200,265500,264900,264000,262400,260300,258100,256500,255100,254000,252900,251600,250200,248400,246900,246100,245800,245500,245300,245200,245600,246000,246000,245500,245600,245900,246300,246700,247300,247700,248500,249700,250700,251100,251500,251400,251200,251900,253300,255100,257300,259400,261700,263400,264500,265600,266800,267300,268100,269500,271100,272600,274000,275400,276000,276000,276500,277100,277200,278500,281100,283400,284900
Champaign,IL,Champaign-Urbana,17,19,,,,,,,,,,,81800,82300,82400,82000,81200,81200,81600,81800,81900,81900,82100,82200,82400,82600,82600,82300,81900,81900,82300,83000,83700,84400,84900,85500,86300,87000,87200,87300,87300,87300,87600,88000,88300,88700,89200,89600,90000,90100,90400,91000,91700,92400,92600,92500,92400,92700,93000,93500,94300,95400,96300,97000,97200,97200,97000,97400,98200,98700,98600,98700,99400,100400,101100,101700,102400,103000,103600,104400,105000,105400,106500,107200,107700,108300,108800,109300,110000,110800,112000,113200,114000,114700,115300,115900,116500,117000,117200,117300,117300,117500,118300,119300,120000,120500,121500,122700,123400,123700,124200,125000,125800,126900,127400,127300,127700,128700,129500,129800,130200,130800,131300,131400,131500,131300,130900,130300,129900,129100,128600,128600,128900,129300,130000,130900,131600,132100,132500,133000,133300,133600,133400,133100,132800,131700,130300,129600,129500,129900,130300,130400,130500,130600,130500,130600,130900,131200,131400,131400,131400,131100,130800,130800,130700,130600,130600,130200,129700,129700,130100,130400,130700,130600,130200,129800,129800,129800,129900,129700,129200,128900,128500,127700,126700,126100,125800,125500,125100,125100,125100,124900,124700,124500,124400,124700,124600,124400,124600,125000,125300,125400,125600,125700,125600,125700,125800,125600,125300,125500,126000,126300,126500,126700,127000,127700,128500,129300,129600,129800,130000,129900,129700,129700,129700,129400,129200,129400,129900,130400,130400,130400
Yolo,CA,Sacramento,6,113,143900,142200,141200,141500,143400,145100,145400,145300,145400,145400,145100,145400,146500,147400,147900,148100,148200,148300,148500,149000,149400,149600,149200,148800,148000,,,147600,148100,149500,150900,151500,152700,155100,157900,160000,162700,165100,166500,167600,169200,170500,171400,171800,172500,173500,174500,175400,176700,179000,181600,183800,184900,186000,188200,191900,195800,199100,201600,203900,206200,208800,211100,213600,216200,219000,221800,224400,226300,227900,230200,234600,240200,245300,249700,254100,258300,263100,267600,271600,276000,280500,284500,288300,292000,295600,299600,303600,308100,311800,315300,320700,327300,332800,337100,341200,345700,351400,359300,369000,379800,390800,398700,403800,408800,413200,417400,423100,429100,433100,436100,438900,441600,445900,452400,458800,463500,466800,468900,469900,468500,464700,460200,454400,446200,437000,428200,419700,409800,401200,397400,398500,399500,397400,392600,387000,381200,375800,371100,367600,365200,363900,359500,349100,337600,331300,329300,328200,325400,319500,313700,309200,306500,305100,304100,301800,300100,298500,296300,293900,292300,291400,289600,285800,282000,279700,278100,276600,275500,274600,272900,270900,270000,270200,269800,268800,266700,264100,261300,258800,256100,253500,250800,248700,246400,243300,240300,238500,237400,236300,235700,236200,237000,237700,239000,240500,242400,245500,248800,251100,254000,256900,259600,263800,270200,276600,282300,288100,295000,301900,309300,316900,323100,325600,325900,326400,326600,326100,326500,327400,328300,330400,333500,337000,339400,341000,343900,347200,349400,351200
Broome,NY,Binghamton,36,7,62000,62200,62100,62100,62300,62300,62200,61900,61700,61700,61800,61600,61300,61100,61100,61000,61000,61100,61400,61800,62000,62300,62800,63200,63700,64100,64400,64500,64500,64600,65000,65000,64900,65100,65200,65200,65400,65600,65400,65200,65200,65100,65000,65000,65000,64900,64900,64900,64900,65300,65700,65900,66100,66600,67200,67800,68300,68900,69500,70200,70800,71200,71700,72400,73400,74100,74500,74700,74600,74300,74300,74400,74300,74200,74100,74000,73800,73400,73000,73400,74600,75400,75300,75200,75300,75400,75500,75700,76100,76200,76400,76400,76400,76500,76900,77200,77500,77900,78500,79000,79200,79200,79600,80100,80500,80800,81300,82100,82600,83100,83700,84400,85100,86100,87000,87800,88300,89000,89900,90500,91300,92300,93000,93500,94300,95000,95500,96000,96700,97600,98500,99200,99900,100300,100700,101100,101700,102500,103500,104200,104500,104800,104800,104900,105100,105600,106200,106700,106800,106900,107000,107000,106800,107000,107800,108400,108700,108900,109000,109000,109000,108900,108700,108600,108500,108600,108200,107400,106800,106700,106400,106000,105700,105400,104800,104200,103300,102200,101400,101000,100500,99900,99700,99800,100100,100700,101300,101600,101700,101200,100700,100300,100100,100500,101500,102500,103100,103700,104000,104700,106100,107600,108600,109500,110100,110100,109900,110100,110000,109800,109400,108900,108600,108100,107100,106100,105600,105900,106000,104600,102600,101600,101600,102200,102800,103700,105600,107800,109500,110800
Richmond,GA,Augusta,13,245,61800,62100,62300,62500,62900,63400,63200,63000,63000,63100,63300,63300,63200,63100,63100,63300,63200,63100,63200,63600,64000,64500,64700,65000,65300,65800,66200,66400,66600,66900,67100,67400,67900,68300,68400,68400,68300,68000,68100,68600,69100,69300,69600,69800,69600,69700,70100,70400,70600,70700,70800,71100,71000,70800,70800,70800,70600,70500,70700,70800,70900,71100,71400,71300,71400,71600,71600,71800,72100,72300,72300,72500,72900,73100,73200,73300,73500,73900,74600,75100,75600,76000,76300,76600,76800,77000,77200,77500,77800,78100,78400,78800,79100,79200,79300,79700,79900,80100,80200,80500,81000,81400,81600,81900,82600,83300,83900,84200,84300,84300,84400,84700,84900,85000,85200,85400,85700,86200,86600,87000,87600,88200,88700,88900,89200,89600,89900,90300,90700,90800,90800,90800,90700,90700,90800,90700,90800,91000,91300,91900,92000,91600,90800,90500,90600,90800,90900,91000,90600,90300,89600,88500,87600,87700,87800,87900,87700,87800,87900,88100,88100,87800,87600,87300,86800,86400,86500,86600,86600,86500,86400,86300,86200,85900,85500,85100,84900,84900,85000,84900,84700,84200,83900,83500,83000,82400,82100,81700,81000,80500,79900,79200,78800,78700,78400,78100,78000,77600,77200,76900,77200,77300,77300,77000,76800,76400,75900,75500,75700,76200,76700,76900,76900,76800,76700,76800,76900,76700,76600,76600,76600,76700,77000,77200,77500,77600,77600,77700,77700,77600
Saint Louis,MN,Duluth,27,137,54500,55100,56400,57900,58800,59000,58900,58800,58800,58700,58800,59100,59700,59600,59600,60300,60900,61000,62000,63800,64800,64900,64400,63900,64300,65700,66600,66400,65700,65800,67000,68600,69500,70200,72000,74400,75800,76000,75600,76000,77200,78000,77700,76000,74500,74600,74400,74200,74800,74600,74100,75100,76200,76200,76200,76600,76100,75400,75900,76300,75800,76700,78500,78800,78100,77800,78200,78800,79700,80900,82500,84000,85100,86000,86600,87200,88500,90400,91200,91600,92300,93100,93700,94500,95200,95500,95700,95900,96900,97600,98100,99000,100000,99800,98700,97600,96800,96400,96300,96400,96100,96000,96200,96600,97500,99000,100300,102100,104100,105200,105500,105900,106100,106600,106900,107000,107200,107700,107900,108200,108400,108400,108800,109400,109900,110100,110700,111700,112900,113900,114100,113200,112600,112700,112800,112600,112800,113100,112900,112300,111400,110800,110800,111000,110900,111000,111400,111800,111800,111900,112100,112000,111600,111400,111100,111000,111000,111000,110900,110600,110200,109800,109600,109000,108200,107500,107100,106700,106300,106100,105700,105000,104500,104300,104200,104300,104300,103600,103200,103200,103000,102700,102600,102600,102700,102600,102300,102200,102200,102000,101500,101300,101300,101400,101400,101700,101700,100900,100500,101000,101400,101200,101400,101800,101800,101700,101700,101800,101800,101700,101800,102100,102500,103100,103100,102700,102100,101500,100700,100000,100200,100400,100000,99200,99100,99600,100200,100600,101100,101500
Mohave,AZ,Lake Havasu City,4,15,87000,86100,85600,85100,84700,84400,83800,83100,82600,81900,81500,81600,81500,81200,81100,81100,81100,81200,81700,82500,83200,83300,83200,83400,83300,83400,84000,84300,84500,84900,85300,85700,86100,86400,86900,87300,87700,87800,87600,87500,87400,87400,87500,87800,88000,88700,89400,89800,90300,90900,91300,91900,92900,93900,94500,95000,95600,96200,96800,97500,98300,99300,100100,100900,102100,102900,103600,104100,104800,105700,106800,107700,108700,109800,111300,112700,113400,114000,114800,115900,117600,119800,121800,123700,125600,127000,128400,130100,132400,135100,138100,141200,144000,146500,149300,152100,155300,158900,163200,167500,171900,176100,180300,184500,188500,191600,194800,198600,202700,207100,211100,214400,217700,221300,225000,228500,231100,233400,235300,236900,238700,240200,240600,240400,239700,238100,235600,233000,230400,227800,225000,222200,219300,216700,214600,212900,211100,209300,207800,206900,204500,200700,197300,194700,191800,188300,184200,179900,175800,171700,167700,163400,161000,161100,160900,158800,156300,154100,152300,150600,148900,147600,146200,144500,143000,142600,142500,142200,141600,141000,140600,140000,139300,138500,137400,136100,135000,133600,132000,130700,130100,129400,128300,127300,126700,126400,126500,126800,127000,127000,127200,127800,128700,129400,129800,130700,131900,132900,133800,135100,136100,136400,136600,137200,138200,139200,140600,142300,143700,144800,146300,148100,149500,150200,151000,152000,152600,153100,153800,154500,155400,156600,157900,159400,160600,161000,161300,162200,162700,162800
Saginaw,MI,Saginaw,26,145,63000,63100,63300,63600,63800,64000,64300,64600,64800,65000,65100,65500,65900,66100,66400,66700,66700,66500,66700,67200,67600,68300,68800,68900,68900,69200,69800,70400,71000,71500,71700,72000,72400,73100,73900,74300,74700,75100,75400,75400,75600,75800,76100,76300,76400,76500,76800,77200,77700,77800,77900,78000,78300,78700,79000,79300,79800,80400,80900,81200,81500,81900,82100,82100,82400,83000,83500,83700,83900,84000,83900,83900,84200,84700,85100,85500,85700,85900,86100,86200,86300,86500,86700,86900,87100,87200,87100,87200,87700,87800,87800,88000,88100,88100,88200,88500,88800,89100,89400,89800,90000,90200,90300,90600,90700,91000,91000,90900,90600,90600,90500,90400,90300,90100,90100,90000,89900,89500,89100,88700,88000,87100,86600,86500,86400,86100,85900,85800,85200,84200,83300,83100,83200,83200,82800,82000,81100,80300,79600,78800,78200,77400,76400,75100,73800,72800,72000,71000,70200,69200,68300,67700,67300,67800,68300,68500,68700,68900,69100,69300,69600,69900,70000,70100,70500,70900,71300,71600,71600,71500,71500,71200,70900,70800,70800,70500,69900,69200,68700,68300,67800,67300,67000,66600,66200,65900,65500,64900,64600,64500,64300,64100,64200,64200,64200,64300,64400,64400,64400,64700,64900,65100,65400,65400,65200,65100,65100,65200,65500,65800,65900,66000,65900,65500,65100,65000,65500,65800,65700,65800,66000,66000,66100,66200,66100,65900,66100,66600,66800,66900
Elkhart,IN,Elkhart,18,39,78600,79900,80700,81100,81600,81600,81400,81700,82200,82400,82600,81500,79400,77900,77700,77900,78800,80200,81700,82800,83800,84800,85500,86100,86400,86600,86600,86500,86700,87400,88000,87900,87300,87400,88100,89500,91000,92100,92700,93100,92800,92200,92100,92300,91800,91600,91800,92000,92000,92000,92200,92400,92700,93200,93800,94200,95300,97000,98800,100300,102000,103300,104100,104500,105000,105100,105200,105600,105700,105500,105500,105500,105200,105000,104900,104900,105000,105200,105100,105000,105200,105500,105500,105500,105900,106400,107000,107800,108400,108900,109300,110100,110900,111700,111900,111700,111400,111500,112000,112700,113400,114200,114900,115500,115800,116100,116600,117400,118200,118900,119600,120100,120400,120900,121600,122000,122500,122900,123300,123800,124300,124500,124500,124700,125300,125600,125700,126000,126600,127200,127600,127700,128000,128600,128500,128400,128800,129300,129500,129800,130000,129900,129700,129500,129600,129900,130100,129800,128800,127200,125500,123800,122400,121000,119400,117500,115600,113700,112200,111400,110800,110300,110400,110400,109400,108300,108700,109000,108200,107100,106900,107300,107200,106600,106100,105300,104500,104800,104500,103500,102200,102700,103700,102900,100800,100200,100100,100000,100900,101900,101600,101900,103300,104100,103500,103200,103900,104200,104400,104900,104700,103100,103500,103900,103300,103200,104400,105200,106300,107100,107200,107600,107900,108000,107600,109600,112100,112000,109800,109100,108800,108700,108600,108700,109100,109800,110100,110100,110500,111000
Sangamon,IL,Springfield,17,167,85100,85900,86400,86600,86600,86600,86900,87200,87100,86900,86800,86900,86700,86500,86600,86600,86400,86300,86300,86300,86100,86200,86400,86500,86400,86800,87200,87400,87600,88200,88700,88900,88900,89000,88900,88900,89100,89100,89100,89300,89600,89700,89600,89700,90000,90500,90900,90900,90900,90800,90500,90600,91300,91700,91600,91500,92100,93000,93500,93700,93900,94100,94600,95100,95200,94600,94200,94400,94600,94500,94800,95700,96100,96500,97200,97800,97900,98000,98400,99000,99100,99000,99400,100000,100300,100200,99800,99400,99300,100000,101200,102000,102400,102400,102200,101900,102200,102900,103600,104200,104800,105300,105600,105700,106100,106800,107400,108100,108200,107500,106800,106600,106700,107200,107200,107200,107500,108100,108400,108700,109200,110300,111500,112300,112500,112700,112700,112900,113300,113500,113600,113700,113900,114400,114800,115200,115400,115600,115700,115500,115200,115400,115500,115400,115700,115900,115700,115700,116000,116400,117200,117900,118000,117600,117500,117600,117700,117700,117800,118100,118200,118300,118500,118300,117800,117500,117400,117300,117500,117900,118200,118300,118500,119000,119400,119800,120100,120100,119600,119400,119700,120000,119900,119600,119200,118600,118100,118900,121300,123800,125000,125100,124700,124200,124200,124700,125200,124900,123800,122500,121800,121900,121900,121900,122200,122600,122600,122800,122700,122600,122900,123200,123100,122500,124400,127000,126900,125300,125400,125200,125100,125000,125200,125000,124100,122800,121300,120300,119900,119800
